Step,AgentID,Speed,VehicleType,Position
1653,323,14.4,Truck,"(281474610, 236306981)"
1654,313,25.2,Car,"(236160006, 236160072)"
1654,318,7.2,Car,"(273461469, 236160072)"
1654,319,25.2,Motorcycle,"(236160006, 236160072)"
1654,320,18.0,Truck,"(236160006, 236160072)"
1654,321,21.6,Car,"(495649040, 273461469)"
1654,322,18.0,Motorcycle,"(236306981, 281474610)"
1654,323,10.8,Truck,236306981
1655,313,25.2,Car,"(236160006, 236160072)"
1655,318,10.8,Car,"(273461469, 236160072)"
1655,319,21.6,Motorcycle,"(236160006, 236160072)"
1655,320,21.6,Truck,"(236160006, 236160072)"
1655,321,18.0,Car,"(495649040, 273461469)"
1655,322,21.6,Motorcycle,"(236306981, 281474610)"
1655,323,7.2,Truck,"(236306981, 236160006)"
1655,324,0.0,Car,"(281474691, 281474610)"
1656,313,25.2,Car,"(236160006, 236160072)"
1656,318,7.2,Car,236160072
1656,319,18.0,Motorcycle,"(236160006, 236160072)"
1656,320,25.2,Truck,"(236160006, 236160072)"
1656,321,14.4,Car,273461469
1656,322,18.0,Motorcycle,"(236306981, 281474610)"
1656,323,10.8,Truck,"(236306981, 236160006)"
1656,324,3.6,Car,"(281474691, 281474610)"
1657,313,25.2,Car,"(236160006, 236160072)"
1657,318,3.6,Car,"(236160072, 236160006)"
1657,319,14.4,Motorcycle,"(236160006, 236160072)"
1657,320,25.2,Truck,"(236160006, 236160072)"
1657,321,10.8,Car,"(273461469, 273461466)"
1657,322,14.4,Motorcycle,"(236306981, 281474610)"
1657,323,14.4,Truck,"(236306981, 236160006)"
1657,324,7.2,Car,"(281474691, 281474610)"
1658,313,25.2,Car,"(236160006, 236160072)"
1658,318,7.2,Car,"(236160072, 236160006)"
1658,319,10.8,Motorcycle,"(236160006, 236160072)"
1658,320,25.2,Truck,"(236160006, 236160072)"
1658,321,14.4,Car,"(273461469, 273461466)"
1658,322,10.8,Motorcycle,281474610
1658,323,18.0,Truck,"(236306981, 236160006)"
1658,324,10.8,Car,"(281474691, 281474610)"
1658,325,0.0,Motorcycle,"(3376781934, 281474691)"
1659,313,25.2,Car,"(236160006, 236160072)"
1659,318,10.8,Car,"(236160072, 236160006)"
1659,319,7.2,Motorcycle,"(236160006, 236160072)"
1659,320,25.2,Truck,"(236160006, 236160072)"
1659,321,18.0,Car,"(273461469, 273461466)"
1659,322,7.2,Motorcycle,"(281474610, 281474691)"
1659,323,14.4,Truck,"(236306981, 236160006)"
1659,324,14.4,Car,"(281474691, 281474610)"
1659,325,3.6,Motorcycle,"(3376781934, 281474691)"
1660,313,25.2,Car,"(236160006, 236160072)"
1660,318,14.4,Car,"(236160072, 236160006)"
1660,319,10.8,Motorcycle,236160072
1660,320,25.2,Truck,"(236160006, 236160072)"
1660,321,21.6,Car,"(273461469, 273461466)"
1660,322,10.8,Motorcycle,"(281474610, 281474691)"
1660,323,10.8,Truck,"(236306981, 236160006)"
1660,324,18.0,Car,"(281474691, 281474610)"
1660,325,7.2,Motorcycle,"(3376781934, 281474691)"
1661,313,21.6,Car,"(236160006, 236160072)"
1661,318,18.0,Car,"(236160072, 236160006)"
1661,319,7.2,Motorcycle,"(236160072, 267538595)"
1661,320,25.2,Truck,"(236160006, 236160072)"
1661,321,25.2,Car,"(273461469, 273461466)"
1661,322,14.4,Motorcycle,"(281474610, 281474691)"
1661,323,14.4,Truck,"(236306981, 236160006)"
1661,324,21.6,Car,"(281474691, 281474610)"
1661,325,10.8,Motorcycle,"(3376781934, 281474691)"
1662,313,18.0,Car,"(236160006, 236160072)"
1662,318,21.6,Car,"(236160072, 236160006)"
1662,319,10.8,Motorcycle,"(236160072, 267538595)"
1662,320,25.2,Truck,"(236160006, 236160072)"
